EU01: Čo je europeizácia?,transformácia európskej spoločnosti z „národného“ na „európske“ a reorganizácia spôsobu organizácie politiky v členských štátoch EÚ.
EU02: Ako definuje europeizáciu Ladrech (1994)?,"prírastkový proces, ktorý preorientuje smer a tvar politiky tak, že dynamika EÚ sa stáva súčasťou logiky národnej politiky."
EU03: Aké sú hlavné kritiky konceptu europeizácie?,"koncepčné preťaženie, zlá a mätúca definícia, obmedzená vysvetľovacia kapacita."
EU04: Ako môže byť europeizácia obojsmerným procesom?,zdola nahor: štáty ovplyvňujú EÚ politiky; zhora nadol: EÚ ovplyvňuje národné politiky.
EU05: Aká je úloha Rady EÚ v europeizácii?,"ministri členských štátov spolurozhodujú o legislatíve EÚ, čím štáty ovplyvňujú európske zákony."
EU06: Aká je úloha Európskej rady v europeizácii?,určuje strategické smerovanie EÚ bez prijímania legislatívy.
EU07: Čo je COREPER a aká je jeho úloha?,stáli predstavitelia členských štátov pripravujú rozhodnutia Rady EÚ.
EU08: Ako môžu národní experti ovplyvňovať EÚ politiku?,"pôsobia v expertných skupinách, kde radia Komisii pri tvorbe legislatívy."
EU09: Akú rolu majú národné parlamenty v procese europeizácie?,môžu kontrolovať subsidiaritu a navrhovať zmeny alebo stiahnutie návrhu EÚ legislatívy.
EU10: Ako vplývajú politické strany na EÚ politiku?,národné strany sú členmi európskych politických skupín a tak ovplyvňujú pozície Európskeho parlamentu.
EU11: Aké sú typy právnych aktov EÚ a ich vplyv na štáty?,"nariadenie (automatické), smernica (flexibilná implementácia), rozhodnutie (konkrétny adresát)."
EU12: Čo je európsky semester?,proces hodnotenia národných politík a vydávania odporúčaní zo strany EÚ.
EU13: Ako EÚ finančne ovplyvňuje národné politiky?,cez eurofondy – štáty musia zosúlaďovať reformy s prioritami EÚ.
EU14: Aký je vplyv Súdneho dvora EÚ na štáty?,"ak štát poruší právo EÚ, môže byť Komisiou zažalovaný a rozsudky sú záväzné."
EU15: Ako definuje europeizáciu Radaelli (2003)?,"proces konštrukcie, šírenia a inštitucionalizácie pravidiel a noriem z EÚ do národného prostredia."
EU16: Ako definuje europeizáciu Ladrech (2002)?,adaptívna reakcia aktérov na meniace sa prostredie v dôsledku európskej integrácie.
EU17: Ako rozlišuje Börzel (2002) smer europeizácie?,zdola nahor (vplyv štátov na EÚ) a zhora nadol (vplyv EÚ na štáty).
EU18: Akých 5 dimenzií europeizácie uvádza Olsen (2002)?,"zmena hraníc, rozvoj EÚ inštitúcií, domáca inštitucionálna adaptácia, vplyv na tretie krajiny, projekt politickej unifikácie."
EU19: Čo znamená zmena hraníc podľa Olsena?,rozširovanie EÚ ako jednotného politického priestoru.
EU20: Ako prebieha europeizácia tretích krajín?,"EÚ slúži ako model, ktorý tretie krajiny dobrovoľne (alebo podmienečne) nasledujú."
EU21: Aký je cieľ projektu politickej unifikácie v EÚ?,vybudovanie jednotnejšej a silnejšej politickej entity s jednotnými pravidlami a normami.
EU22: Aké sú hlavné ciele sociálnej politiky EÚ?,"Podpora zamestnanosti, udržateľného rastu, sociálnej súdržnosti, rovnosti príležitostí a spravodlivých pracovných podmienok."
EU23: Prečo EÚ nemá rozpočet na sociálnu politiku?,Sociálna politika je prevažne v kompetencii členských štátov a nie je financovaná z osobitného rozpočtu EÚ.
EU24: Ktoré zmluvy a stratégie formovali sociálnu politiku EÚ?,"Rímske zmluvy (1957), Jednotný európsky akt (1986), Amsterdamská zmluva (1997), Lisabonská stratégia (2000), Stratégia Európa 2020, Lisabonská zmluva (2007)."
EU25: Aké sú nástroje EÚ v oblasti zamestnanosti a sociálnej politiky?,"European Labour Authority, Európsky sociálny fond (ESF+), Fond na prispôsobenie sa globalizácii, Európsky zbor solidarity."
EU26: Čo je Európsky sociálny fond a na čo slúži?,"Hlavný nástroj na podporu zamestnanosti, pomáha nezamestnaným aj zamestnaným a investuje do verejných služieb."
EU27: Čo je Európsky pilier sociálnych práv (EPSR)?,"Iniciatíva s 20 zásadami zameranými na rovnosť príležitostí, spravodlivé podmienky a sociálnu ochranu."
EU28: Prečo sú kompetencie EÚ v sociálnej politike limitované?,Ide o spoločnú právomoc; rozhodujú najmä členské štáty a EÚ môže konať len podľa subsidiarity a proporcionality.
EU29: Čo je Open Method of Coordination (OMC) v sociálnej politike?,Mäkké právo – Rada EÚ stanoví ciele a členské štáty ich plnia podľa vlastného uváženia.
EU30: Aké sú dôvody limitov kompetencií EÚ v sociálnej politike?,"Citlivosť témy, subsidiarita, proporcionalita a rôznorodosť národných sociálnych modelov."
EU31: Čo je jednotný európsky trh?,"Priestor, kde sa ľudia, tovar, služby a kapitál pohybujú voľne naprieč členskými štátmi."
EU32: Kedy vznikol jednotný európsky trh?,1. januára 1993 po ukončení vnútorného trhu podľa Jednotného európskeho aktu (1987).
EU33: Aké sú štyri základné slobody jednotného trhu?,"Voľný pohyb osôb, tovaru, služieb a kapitálu."
EU34: Čo upravuje voľný pohyb osôb v EÚ?,Články 45-55 ZFEÚ a Smernica 2004/38/ES.
