PA01: Čo je výskumný dizajn v kvalitatívnom výskume?,"strategický rámec na zber, analýzu a interpretáciu nekvantitatívnych údajov; flexibilný, iteratívny a kontextovo závislý."
PA02: Ako Denzin a Lincoln (2018) definujú kvalitatívny výskum?,"ako situovanú činnosť s interpretatívnym prístupom k svetu, zdôrazňujúcu význam a sociálne interakcie."
PA03: Ako Maxwell (2012) popisuje kvalitatívny výskum?,"ako interaktívny a emergentný, kde sa dizajn prispôsobuje počas zberu údajov."
PA04: Aké sú štyri hlavné účely kvalitatívneho výskumu podľa Brymana (2012)?,"prieskum, opis, vysvetlenie, predikcia."
PA05: Čo je cieľom prieskumného výskumu?,"preskúmať málo pochopený jav pomocou otvorených rozhovorov, focus groups a pozorovania."
PA06: Čo je cieľom opisného výskumu?,"poskytnúť detailný popis fenoménu, často pomocou etnografie, prípadových štúdií a naratívnej analýzy."
PA07: Čo skúma vysvetľujúci výskum?,"príčiny alebo mechanizmy za javmi, napr. pomocou hĺbkových rozhovorov a porovnávacích prípadových štúdií."
PA08: Čo je predikčný výskum v kvalitatívnom výskume?,snaží sa predvídať sociálne trendy na základe pozorovaných vzorcov.
PA09: Ako definuje Yin (2003) prípadovú štúdiu?,hlboká analýza jedného alebo viacerých prípadov v reálnom kontexte.
PA10: Kedy sa používa prieskumná prípadová štúdia?,keď existuje málo poznatkov o danom probléme.
PA11: Čo je opisná prípadová štúdia?,dokumentuje fenomén do hĺbky pomocou kvalitných dát.
PA12: Na čo slúži vysvetľujúca prípadová štúdia?,na analýzu kauzálnych vzťahov v reálnom živote.
PA13: Čo je cieľom viacerých prípadových štúdií?,porovnať viaceré prípady a identifikovať vzorce a rozdiely.
PA14: Čo skúma vnútorná (intrinsic) prípadová štúdia?,unikátny alebo výnimočný prípad pre jeho vlastnú hodnotu.
PA15: Čo je inštrumentálna prípadová štúdia?,používa konkrétny prípad na pochopenie širšieho javu.
PA16: Čo znamená generalizovateľnosť v kvalitatívnom výskume?,možnosť aplikovať zistenia na iné prostredia; dôraz na prenosnosť (transferability).
PA17: Aké stratégie zvyšujú generalizovateľnosť?,"bohatý opis, teoretická generalizácia, viac prípadových štúdií."
PA18: Čo je replikovateľnosť v kvalitatívnom výskume?,schopnosť zopakovať štúdiu s podobnými výsledkami.
